Uni Name,Country,State,Exact Location,Official website url,Rank in QS Rankings,Average Fee per semester in AUD,IELTS overall,IELTS reading,IELTS listening,IELTS writing,IELTS speaking,IELTS valid duration,TOEFL IBT overall,TOEFL IBT listening,TOEFL IBT reading,TOEFL IBT speaking,TOEFL IBT writing,PTE overall,PTE speaking & writing,PTE reading,PTE listening,Minimum GPA required,Aggregate 12 percentage,Application Fee,Scholarship Offered To Internation Students With Links,Average Fee per year in AUD,minimum IELTS overall,minimum TOEFL IBT overall,minimum PTE overall,High School Qualifications Accepted,ATAR,Avg Internation Baccalaureate Diploma (IB) Grade,UK GCE A Levels,IB Diploma,UK A-levels
Queensland University of Technology,Australia,Queensland,"
2 George Street; GPO Box 2434
Brisbane, Queensland 4000",https://www.qut.edu.au/,,,6.5,,,,,,,,,,,,,,,,,,https://www.qut.edu.au/study/fees-and-scholarships/scholarships/international-merit-scholarship,,,,,,,,,,
The University of Queensland,Australia,Queensland,"
Chancellor's Place
St Lucia, Queensland 4072",https://www.uq.edu.au/,50.0,"$38,432.00",6.5,,,,,,,,,,,,,,,,,,https://scholarships.uq.edu.au/scholarships?type%5B160%5D=160&op=Browse+scholarships,,,,,,,,,,
University of Southern Queensland,Australia,Queensland,"
West Street
Toowoomba, Queensland 4350",https://www.unisq.edu.au/,,"$25,850.00",5.5,,,,,,94.0,24.0,24.0,23.0,27.0,50.0,,,,,,,https://www.unisq.edu.au/scholarships/unisqi-international-student-support-scholarship-2023,,,,,,,,,,
University of the Sunshine Coast,Australia,Queensland,"
90 Sippy Downs Drive
Sippy Downs, Queensland 4558",https://www.usc.edu.au/,,"$20,600.00",6.0,,,,,,76.0,18.0,18.0,18.0,18.0,50.0,,,,,,,https://www.usc.edu.au/international/programs-and-fees/tuition-fees-and-other-costs/international-scholarships#tab-2023-unisc-international-scholarships-for-new-students_51318,,,,,,,,,,
Flinders University,Australia,South Australia,"Sturt Road, Bedford Park
Adelaide , South Australia 5001",https://www.flinders.edu.au/,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Adelaide,Australia,South Australia,"
North Terrace
Adelaide, South Australia 5005",https://www.adelaide.edu.au/,,"	$35,500.00",6.5,6.5,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
University of South Australia,Australia,South Australia,"
101 Currie Street
Adelaide, South Australia 5001",https://www.unisa.edu.au/,,"$33,400.00",6.0,,,,,,60.0,18.0,18.0,18.0,18.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,
Deakin University,Australia,Victoria,"
Gheringap Street
Geelong, Victoria 3217",https://www.deakin.edu.au/,266.0,"$33,000.00",6.0,6.0,6.0,6.0,6.0,,69.0,,,,21.0,50,50,50.0,50.0,,,,,,,,,,,,,"Arts and Education: 25
Business and Law | Business: 27, Law: 33, Sport: 27
Health: 25
Science, Engineering and Built Environment: 25","Arts and Education: 6
Business and Law | Business: 8 , Law: 10, Sport: 8
Health: 6
Science, Engineering and Built Environment: 6"
Federation University,Australia,Victoria,"
PO Box 663
Ballarat, Victoria 3350",https://federation.edu.au/,,"	$28,800.00",5.5,,,,,,,,,,,,,,,,,,https://federation.edu.au/current-students/starting-at-federation/scholarships/international-scholarships#International_Student_Accommodation_Support_Scholarship_581755,,,,,,,,,,
La Trobe University,Australia,Victoria,"
Kingsbury Drive
Melbourne, Victoria 3086",https://www.latrobe.edu.au/,,,6.0,,,,,,64.0,12.0,13.0,18.0,21.0,46,,,,,,,,,,,,,,,,,
